City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
159,Deputatskiy,RU,69.3,139.9,37.87,76,88,4.18,2020-08-26 22:31:55
160,Qaanaaq,GL,77.48,-69.36,36.9,88,100,16.49,2020-08-26 22:31:56
161,Shipunovo,RU,52.16,82.22,55.24,62,17,9.35,2020-08-26 22:31:56
162,Hofn,IS,64.25,-15.21,51.03,79,0,5.75,2020-08-26 22:31:56
163,Kaspiysk,RU,42.88,47.64,64.4,88,0,6.71,2020-08-26 22:31:56
164,Bethel,US,41.37,-73.41,75.2,29,1,9.17,2020-08-26 22:31:56
165,Nisia Floresta,BR,-6.09,-35.21,77.0,78,20,16.11,2020-08-26 22:31:57
166,Mayumba,GA,-3.43,10.66,75.02,88,100,9.22,2020-08-26 22:31:57
167,Payson,US,40.04,-111.73,99.0,13,40,9.17,2020-08-26 22:30:03
168,Weyburn,CA,49.67,-103.85,80.01,36,37,14.0,2020-08-26 22:29:58
169,Castro,BR,-24.79,-50.01,52.92,84,0,4.32,2020-08-26 22:30:57
170,Chuy,UY,-33.7,-53.46,61.56,93,97,6.2,2020-08-26 22:31:57
171,Kodiak,US,57.79,-152.41,55.4,71,90,5.82,2020-08-26 22:31:57
172,Yerbogachen,RU,61.28,108.01,45.43,64,81,6.4,2020-08-26 22:31:57
173,Salto,UY,-31.38,-57.97,73.4,64,75,4.7,2020-08-26 22:28:26
174,Faya,SA,18.39,42.45,73.4,77,97,3.49,2020-08-26 22:31:58
175,Karimganj,IN,24.87,92.35,76.59,91,99,1.77,2020-08-26 22:31:58
176,Palia Kalan,IN,28.45,80.58,81.75,80,98,1.74,2020-08-26 22:31:58
177,Nkhotakota,MW,-12.93,34.3,72.45,64,8,4.97,2020-08-26 22:31:58
178,Kruisfontein,ZA,-34.0,24.73,55.0,76,63,3.0,2020-08-26 22:31:58
179,Ilulissat,GL,69.22,-51.1,42.8,60,3,4.81,2020-08-26 22:31:58
180,Riyadh,SA,24.69,46.72,87.8,27,54,6.51,2020-08-26 22:27:34
181,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,51.8,100,90,6.71,2020-08-26 22:31:59
182,Kichera,RU,55.94,110.1,58.57,59,0,6.04,2020-08-26 22:31:59
183,Byron Bay,AU,-28.65,153.62,57.2,82,2,5.82,2020-08-26 22:31:59
184,Ryotsu,JP,38.08,138.43,82.4,78,0,3.36,2020-08-26 22:31:59
185,Klaksvik,FO,62.23,-6.59,46.4,81,65,2.24,2020-08-26 22:31:59
186,Dingle,PH,11.0,122.67,77.86,83,35,1.86,2020-08-26 22:31:59
187,Esperance,AU,-33.87,121.9,46.4,100,0,9.17,2020-08-26 22:32:00
188,Sotouboua,TG,8.57,0.98,71.85,90,76,1.23,2020-08-26 22:32:00
189,Kamenka,RU,51.32,42.77,60.91,44,0,3.69,2020-08-26 22:32:00
190,Chernyshevskiy,RU,63.01,112.47,45.48,59,1,2.42,2020-08-26 22:32:00
191,Jacqueville,CI,5.21,-4.41,77.0,88,20,6.93,2020-08-26 22:32:00
192,Bira,RU,49.0,132.47,68.09,71,100,1.12,2020-08-26 22:32:00
193,Middlebury,US,44.02,-73.17,68.0,39,23,8.01,2020-08-26 22:27:04
194,Tarko-Sale,RU,64.92,77.78,51.01,93,12,1.01,2020-08-26 22:32:00
195,Silifke,TR,36.38,33.93,76.57,72,3,5.5,2020-08-26 22:32:01
196,Darhan,MN,49.49,105.92,56.37,92,96,5.44,2020-08-26 22:32:01
197,Haines Junction,CA,60.75,-137.51,58.64,45,65,8.12,2020-08-26 22:32:01
198,Amasia,TR,40.65,35.83,66.2,68,29,13.87,2020-08-26 22:32:01
